red,nodo,grado
bipartita,UCkbsS_3D-pvg1iHOld9uvIg,1
bipartita,UCkd9W714-947dEE6ZOEBATA,1
bipartita,UCkxdJ_yGN2gghOMo2ybQtXQ,1
bipartita,UCl0ekS9Tt0jJGtOEM18S63w,1
bipartita,UCld2stqxaVSk0QdGncM224A,1
bipartita,UClhMWQ7XKWywYvbRnuf8QsA,1
bipartita,UCljDbleJul41G1TzOjOZAVA,1
bipartita,UClqA491Xa5fQcXcJJa-vTWw,1
bipartita,UClsrFGJKWPxxw7MiaEdKLXw,1
bipartita,UCmjppp6ujz3SAnULvP3sZMw,1
bipartita,UCmvOgzmmXbjUthHy-WJ52hQ,1
bipartita,UCnU8wO1OurAmGstDw6VGjgQ,1
bipartita,UCoGdCoJg2Lh0OX_jv6cG16g,1
bipartita,UColMq7LmaoY3MT6aIDGrGvA,1
bipartita,UCozFYHN0e_-vlQbX3wQGOug,1
bipartita,UCp29O_C7cchZV8IxV7Crdag,1
bipartita,UCp4iw5_5SmV9VGTFSNVGOmQ,1
bipartita,UCpIdtvoFHVLGASGB5ySqIEA,1
bipartita,UCp_dAUfv8i3LW3zWc24dLaQ,1
bipartita,UCpe5jW3MIqkgTJ-PgkzvM6Q,1
bipartita,UCpl8rF8uv_8uui-QRvuJaRA,1
bipartita,UCplrIQtaPj6au60_f2-mOYw,1
bipartita,UCpsKOkt5iWTbenzeuq7dsmQ,3
bipartita,UCq3mDTTRZnUybct5M9OSXbg,1
bipartita,UCqCrvuoJpC-aVb0f4logQRQ,1
bipartita,UCqilIa8r7iek5sGYg_q6ofA,1
bipartita,UCql1n3Ey6ULMSOACjMe-fxQ,1
bipartita,UCr1emrogPKkKTs_WTtx71xg,1
bipartita,UCrJn_rbo_ENAdeqneS-RmRw,1
bipartita,UCrqXyRsg-_hTosURZ-uvoKg,1
bipartita,UCsGoJEvb-cFPZ2rWoJcXzEQ,1
bipartita,UCsJJAvrVGupdmhOqgtDp8dg,1
bipartita,UCsSXdJct-nsS8DsABoEsaYA,1
bipartita,UCsUCN0Yq_UyTvKjOJLmNrnQ,2
bipartita,UCs_5qeqdku9tGAq22y3OcuQ,1
bipartita,UCsjs5Hp_r86x1xbK6FAeqaA,1
bipartita,UCtCtts20bW6F9CSohau51Iw,1
bipartita,UCtMBF_1O2jY2INlb_luuB_A,1
bipartita,UCtNfIBnc5S5DbbQj_yxgJTw,1
bipartita,UCtNyHmRZtvGF2hSvI2dUBWw,1
bipartita,UCtUR3_CAiE7fCoZHM6cMfyQ,1
bipartita,UCtiHFjFu7d5v2XxHnKFUYig,1
bipartita,UCtowGNY2lnlg6O2CkwDgkLg,1
bipartita,UCtsxPYw8VUsH_FfnKg-0lmw,1
bipartita,UCu8_3-Wg-YzNyvHYQDEscfw,1
bipartita,UCuP4UK33HKtJE_S39ksmaTw,1
bipartita,UCuXmOjxC-htcprLgeVXz6Tg,1
bipartita,UCueV9cTyTDwgQSec1x2dYgA,1
bipartita,UCujPF2nBgsTD62nWE3lcpIg,1
bipartita,UCusjriFsDHEc2AOjqk-p5ig,1
bipartita,UCut6b9S98nv84cVX89PmKzA,1
bipartita,UCvApqeCbLod-wejtT4CcVuA,1
bipartita,UCvDwJBBY1mHK70aTEYl6rsA,1
bipartita,UCvcu1kR8xMYy_I1Ty-2mV2Q,3
bipartita,UCvl1tzQeBeGy6efPTRJXSCw,1
bipartita,UCwCfs-2zbD5k0lG-UVg_JBw,1
bipartita,UCwEe1RKlEv1UpNWmWYfSh4w,1
bipartita,UCwO2SXr0ggzwg6QWWrr01nQ,1
bipartita,UCwUAv3_LpWVtTIi7lkmTL7A,1
bipartita,UCwW2OFy95P7ZBkOPxWkpvYg,1
bipartita,UCwgCc9Jd_gG-uLE_SY-FfPg,1
bipartita,UCwha8rxULYMVtNwZWeSkE1A,1
bipartita,UCwjUvRseNtJoItylIyIez7Q,1
bipartita,UCwxoKK59nGCeBqB2sXfDBIw,1
bipartita,UCxKR3RA8T-kxMgq_2WWhRcQ,1
bipartita,UCxcoDvP-g2_KTZDmVZtvb3w,1
bipartita,UCxff05WuyvwELNITi7bj7UA,1
bipartita,UCxhtlxPV8AYWaNNyU6S9H8Q,1
bipartita,UCyJhqmMbsvjpoarBBStA2kg,1
bipartita,UCySYJU5kUh7X8gVt9la2ISA,1
bipartita,UCyW68EGZey4ao_Vf2cR5Ztg,1
bipartita,UCylqlpsh8ENNM1LqgQ1KbxA,2
bipartita,UCyor0Mmm0ivLX2jIdyGp84Q,1
bipartita,UCyzf29IYjNw67gGIfsjgtxA,1
bipartita,UCz3gu01bmjNv0DpRq-K3XYg,1
bipartita,UCzSfZlOVxBSs5ObD25ywxDQ,1
bipartita,UCzZ6dDCEsLMXbc5pCFXIprw,2
bipartita,UCzoL2l5H5eVlorWGH8AZfAg,1
bipartita,06mFNPU0aB8,13
bipartita,3Nfp9h5avBI,2
bipartita,6W4u8sGEnGM,32
bipartita,JkpVO1hx2f8,3
bipartita,OkXlHx0hx-8,18
bipartita,PjmxCj-a9Hg,19
bipartita,TT4qJ5FXHYE,4
bipartita,UhL9y3KUl8E,1
bipartita,WIUZtitfLRw,6
bipartita,X_FAIef8qlE,1
bipartita,b_Hkrkl3adA,7
bipartita,is3Mk5oC19g,7
bipartita,j43HgwYFKfk,49
bipartita,lj983NWyAQY,25
bipartita,n8iP75gIpmw,128
bipartita,ndAZjHqzzT8,10
bipartita,s0eco-BofOs,1
bipartita,yLZS3JiEBg8,16
bipartita,zweosulrwA8,1
autor-autor,UC-HeUTT6_g-VoiWds2a4H-w,31
autor-autor,UC-Iul5tDYH_oiAMXQH-KaaQ,31
autor-autor,UC-QOpE7GOxlXcHZ8b7HbQKA,17
autor-autor,UC-fiZBS5Gp1eCJd9ucgWnCg,48
autor-autor,UC-hfX8J5JPJ-dfuakzegMLA,127
autor-autor,UC-jS_kA9w-OmpupXDx156Rg,127
autor-autor,UC-pNP6RMFuLg_-x7Ah_0kEA,127
autor-autor,UC094EFEmMSdwVa8NQjjYBXg,6
autor-autor,UC0HvfEWozTHbwl_iEmJNvVA,31
autor-autor,UC0RpuMwkDKJYqgKHtsJRuWQ,24
autor-autor,UC0aEyakBPqcBkVJiErfSupQ,24
autor-autor,UC14qlobYKqD-DO0j6b75lcA,31
autor-autor,UC1DpqK6vaPEkBOMNvypsKYg,48
autor-autor,UC1NiEdJ7gk6FlDexIalWnGg,31
autor-autor,UC1WlJfQmaIskYhP4gmWoamw,17
autor-autor,UC1Y7x3h0c95Z8kUhi-Tzaeg,18
autor-autor,UC1vr9aaMI2crB0NvwFHUeoQ,127
autor-autor,UC2Y_EHWQKevubk4vOEBBFxw,127
autor-autor,UC2ngpd8UBQu4gcUYy0goAtg,12
autor-autor,UC2weSE8rpqkGMOp6StYtVfg,127
autor-autor,UC32oozucwCF3q8d4m8fyOUg,48
autor-autor,UC3E9mAgP7VoAE5mZoAexl5g,127
autor-autor,UC3MYTqpQqlWBuCB7Th0e0PA,127
autor-autor,UC3NMzdMYryaw82kPTnsaljg,127
autor-autor,UC3UVO7pTbeYvZ3ILEyRDskQ,48
autor-autor,UC3XTwHxygNCgjndsg-UiCQA,127
autor-autor,UC3YpzAr7pcdKC7BVFEpYzog,31
autor-autor,UC3iIU62XKUOWuqL8BqBzj9A,6
autor-autor,UC3qn1yJA5PeW9rkGPatQxiw,127
autor-autor,UC4Avya4kmR4Q0FrfFdBozSQ,48
autor-autor,UC4cXueR2bKGFJV0Fk76gwmA,127
autor-autor,UC4kg7zuTfqQKLd2bkZrSYBA,6
autor-autor,UC4wq3DcbfaG6dtCqn8Oyu3w,127
autor-autor,UC5H8ASmMC9WrURmzeB4ySog,127
autor-autor,UC5PrBbmUlQolwqmiru7yZhw,6
autor-autor,UC5PyGvSfFM--OVKmQ3COu6g,24
autor-autor,UC5bG9nc_JV3FsNP2KseQiYw,127
autor-autor,UC5fvhAfm89JH8eDFdvc0xYw,24
autor-autor,UC5hvEnRUzI4Kfvwnyi4QxqQ,48
autor-autor,UC5wuDq3U3vRAhOQI3D7gNdw,9
autor-autor,UC63tFvbQ_hJhGDi2nbjssjw,31
autor-autor,UC650pRT-OYzny3GwOH8Cgfw,127
autor-autor,UC6PvO1_k5lHKGdAPo5_C6TA,127
autor-autor,UC6Uj1FT5JjDSF8vudvDxPAA,48
autor-autor,UC6YSZqL0vEcI-niPKIMUGfw,127
autor-autor,UC6xI_MOaxajIWpoP8BH6E_Q,0
autor-autor,UC72gBAtyb_VXQlYDcFrh6oQ,127
autor-autor,UC7IMsCxfZyWN7YQo8-JYa6Q,18
autor-autor,UC7VUuJr9cGh845CmTvf7TlQ,127
autor-autor,UC7dadZG7kkGYnsNu6td0FbA,48
autor-autor,UC816IGbFCZinfYS1LRDaaHg,48
autor-autor,UC8F2V63KZ4ZEay6opX2hAQw,127
autor-autor,UC8G5cJONY8L9voMyBW8Eoug,127
autor-autor,UC8r11yOugM2NuRfitQOxLLg,127
autor-autor,UC8xlJWNHz1V_W6q3fbuQH8g,18
autor-autor,UC95PSMouTx2N5CbSq0hIyrQ,48
